raw_compound,KD_M,reference_date,compound_id,smiles,smiles_source,pKD
CF-6-77,0.0008733706905750099,20200928,CF-6-77,O=C(O)C1CN(C(COC2=CC=CC=C2Cl)=O)C3=CC=CC=C31,id_with_smiles,3.058801386647703
CF-6-117,0.000574095525977031,20200928,CF-6-117,OC(CC1=CN(C(C2=CC=CC=C2)=O)C3=C1C=CC=C3)=O,id_with_smiles,3.2410158376491176
CF-6-122,0.0010171148429095396,20200928,CF-6-122,O=C(O)C1CN(C([C@H]2COC(C=CC=C3)=C3O2)=O)C4=CC=CC=C41,id_with_smiles,2.992630007916929
CF-2-15,,20200928,CF-2-15,ClC1=C(N2C(C(NC(C3=CC=CC=C3)=O)CC2)=O)C=CC=C1,id_with_smiles,
CF-2-16,0.00029604117880685504,20200928,CF-2-16,ClC1=CC=CC=C1N2CCC(NC(C3=C(Cl)C=CC=C3)=O)C2=O,id_with_smiles,3.528647875141287
CF-2-78,,20200928,CF-2-78,O=C1N(C2=C(Cl)C=CC=C2)CC(C(N3CCN(C)CC3)=O)C1,id_with_smiles,
CF-2-79,0.0013052711800442974,20200928,CF-2-79,O=C1N(C2=C(Cl)C=CC=C2)CC(C(NCC3=CC=CC=C3)=O)C1,id_with_smiles,2.8842992509601997
CF-3-42,0.0012915050101491412,20200928,CF-3-42,COC1=CC=C(C)C=C1NC(CN2C=NC=C2)=O,id_with_smiles,2.888903904724187
CF-3-43,0.0004985712079237199,20200928,CF-3-43,COC1=CC=C(C)C=C1NC(CN2C(C=CC=C3)=C3N=C2)=O,id_with_smiles,3.3022728052564307
CF-4-07,,20200928,CF-4-07,FC1=CC(Cl)=CN=C1NC(CO)CO,id_with_smiles,
CF-4-12,,20200928,CF-4-12,FC1=CC(Cl)=CN=C1N2C[C@@H](NC(OC(C)(C)C)=O)CC2,id_with_smiles,
CF-4-17,,20200928,CF-4-17,FC1=CC(Cl)=CN=C1NC[C@H](O)C2=CC=CC=C2,id_with_smiles,
CF-4-18,,20200928,CF-4-18,FC1=CC(Cl)=CN=C1N[C@H](C2=CC=CC=C2)CO,id_with_smiles,
CF-4-32,0.002215035207989602,20200928,CF-4-32,O=C(NCC1=CC=CC=C1)C2=CN=C(N(C)[C@@H](C)CO)N=C2,id_with_smiles,2.654619366274284
CF-4-33,0.002690133211838895,20200928,CF-4-33,O=C(N1CCOCC1)C2=CN=C(N(C)[C@@H](C)CO)N=C2,id_with_smiles,2.5702262137767273
CF-4-44,0.0005451346869538777,20200928,CF-4-44,O=C(NCCCNC(OC(C)(C)C)=O)C1=CN=C(N[C@@H](C)CO)C=N1,id_with_smiles,3.2634961829083147
